articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
CARPS_EXT_29_4_2015,0.91,0.91,mean,0,MATCH,NA
CARPS_EXT_29_4_2015,-0.7,-0.7,mean,0,MATCH,NA
CARPS_EXT_29_4_2015,1.09,1.09,mean,0,MATCH,NA
CARPS_EXT_29_4_2015,1.79,1.79,sd,0,MATCH,NA
CARPS_EXT_29_4_2015,2.81,2.81,sd,0,MATCH,NA
CARPS_EXT_29_4_2015,1.8,1.8,sd,0,MATCH,NA
CARPS_EXT_29_4_2015,5.69,5.69,mean,0,MATCH,NA
CARPS_EXT_29_4_2015,4.78,4.78,mean,0,MATCH,NA
CARPS_EXT_29_4_2015,5.98,5.98,mean,0,MATCH,NA
CARPS_EXT_29_4_2015,1.96,1.96,sd,0,MATCH,NA
CARPS_EXT_29_4_2015,2.64,2.64,sd,0,MATCH,NA
CARPS_EXT_29_4_2015,1.91,1.91,sd,0,MATCH,NA
CARPS_EXT_29_4_2015,4.34,4.34,mean,0,MATCH,NA
CARPS_EXT_29_4_2015,3.06,3.06,mean,0,MATCH,NA
CARPS_EXT_29_4_2015,4.46,4.46,mean,0,MATCH,NA
CARPS_EXT_29_4_2015,2.26,2.26,sd,0,MATCH,NA
CARPS_EXT_29_4_2015,3.15,3.15,sd,0,MATCH,NA
CARPS_EXT_29_4_2015,2.43,2.43,sd,0,MATCH,NA
CARPS_EXT_29_4_2015,10.81,10.81,F,0,MATCH,NA
CARPS_EXT_29_4_2015,2,2,df,0,MATCH,NA
CARPS_EXT_29_4_2015,157,157,df,0,MATCH,NA
CARPS_EXT_29_4_2015,<0.01,3.98697419999043e-5,p,NA,MATCH,TRUE
CARPS_EXT_29_4_2015,0.12,0.12,other,0,MATCH,NA
CARPS_EXT_29_4_2015,3.79,3.79,t,0,MATCH,NA
CARPS_EXT_29_4_2015,157,157,df,0,MATCH,NA
CARPS_EXT_29_4_2015,<.01,2.120977942722772e-4,p,NA,MATCH,TRUE
CARPS_EXT_29_4_2015,0.7,0.78,ci,11.42857142857144,MAJOR_ERROR,NA
CARPS_EXT_29_4_2015,2.51,2.44,ci,2.7888446215139377,MINOR_ERROR,NA
CARPS_EXT_29_4_2015,0.6,0.68,d,13.333333333333346,MAJOR_ERROR,NA
CARPS_EXT_29_4_2015,<1,-0.42126466288205905,t,NA,MATCH,TRUE
CARPS_EXT_29_4_2015,157,157,df,0,MATCH,NA
CARPS_EXT_29_4_2015,2.16,2.15,t,0.4629629629629736,MINOR_ERROR,NA
CARPS_EXT_29_4_2015,159,159,df,0,MATCH,NA
CARPS_EXT_29_4_2015,0.03,0.03,p,0,MATCH,NA
CARPS_EXT_29_4_2015,0.02,0.08,ci,300,MAJOR_ERROR,NA
CARPS_EXT_29_4_2015,1.8,1.74,ci,3.333333333333336,MINOR_ERROR,NA
CARPS_EXT_29_4_2015,0.34,0.39,d,14.705882352941172,MAJOR_ERROR,NA
CARPS_EXT_29_4_2015,<1,-0.6720055584199955,t,NA,MATCH,TRUE
CARPS_EXT_29_4_2015,2.49,2.49,t,0,MATCH,NA
CARPS_EXT_29_4_2015,156,156,df,0,MATCH,NA
CARPS_EXT_29_4_2015,0.01,0.01,p,0,MATCH,NA
CARPS_EXT_29_4_2015,0.22,0.27,ci,22.727272727272734,MAJOR_ERROR,NA
CARPS_EXT_29_4_2015,2.34,2.29,ci,2.136752136752129,MINOR_ERROR,NA
CARPS_EXT_29_4_2015,0.4,0.47,d,17.49999999999999,MAJOR_ERROR,NA
CARPS_EXT_29_4_2015,<1,-0.24175054881119454,t,NA,MATCH,TRUE
